id,goal_id,textnote_id
1,1,8
2,2,9
3,3,10
4,4,17
5,5,18
6,6,22
25,6,195
7,7,24
8,8,25
9,45,39
10,46,42
11,47,43
12,49,53
13,50,57
14,51,63
15,52,64
16,54,70
17,55,76
18,56,81
19,58,94
20,60,107
21,63,132
22,66,145
23,67,150
24,71,194
26,73,210
27,74,212
28,75,227
29,78,293
30,79,296
31,80,321
32,81,358
33,82,361
34,84,373
39,84,494
66,84,1303
70,84,1307
77,84,1581
81,84,1988
116,84,7266
35,85,387
36,88,437
37,89,441
38,92,483
40,93,501
41,94,517
42,96,583
43,97,590
44,98,613
87,98,2017
45,99,664
46,100,670
47,101,675
48,103,708
49,104,731
50,106,764
51,107,804
52,111,1013
55,112,1115
67,112,1304
69,113,1306
53,114,1086
61,114,1255
68,114,1305
89,114,2106
118,114,7268
54,116,1087
56,117,1120
57,118,1134
58,120,1176
59,121,1189
60,122,1203
62,123,1278
63,124,1279
64,125,1281
65,127,1302
71,132,1366
72,133,1378
73,134,1405
74,136,1413
75,139,1471
76,144,1547
78,148,1605
84,148,2014
79,150,1616
85,150,2015
80,151,1691
86,151,2016
82,153,1990
83,158,2007
88,162,2054
91,170,2142
92,170,2345
93,170,2346
94,178,2493
106,178,4439
95,179,2506
108,183,4895
96,184,2769
97,186,2814
98,189,2906
99,190,2940
100,197,3073
101,212,3601
102,217,3712
103,222,3893
104,225,4379
105,244,4391
121,247,8457
109,253,5003
107,256,4708
117,261,7267
110,263,5633
111,267,6234
112,269,6304
113,271,6461
114,272,6621
115,274,6649
119,280,7557
130,280,10860
120,289,8240
122,294,9103
123,307,9230
124,308,9261
125,310,9516
126,313,9541
127,314,9581
128,315,9782
129,319,10002
